year quarter area Species.no Age LengthGroup Length proportion proportion.adjusted Nbar
1981 1 1 16 10 10 100 0.0891 0.0891 116.621
1981 1 1 16 10 11 109 0.53758 0.53758 116.621
1981 1 1 16 10 12 131 0.37331 0.37331 116.621
1981 1 1 17 1 2 9 0.02945 0.02945 3.74929e+06
1981 1 1 17 1 3 13 0.352 0.352 3.74929e+06
1981 1 1 17 1 4 17 0.50757 0.50757 3.74929e+06
1981 1 1 17 1 5 22 0.11098 0.11098 3.74929e+06
1981 1 1 17 2 4 18 0.04145 0.04145 1.83063e+06
1981 1 1 17 2 5 23 0.62326 0.62326 1.83063e+06
1981 1 1 17 2 6 27 0.32079 0.32079 1.83063e+06
1981 1 1 17 2 7 32 0.0145 0.0145 1.83063e+06
1981 1 1 17 3 4 18 0.00185 0.00185 759662
1981 1 1 17 3 5 24 0.16105 0.16105 759662
1981 1 1 17 3 6 27 0.65637 0.65637 759662
1981 1 1 17 3 7 32 0.18072 0.18072 759662
1981 1 1 17 4 4 18 0.00237 0.00237 219595
1981 1 1 17 4 5 24 0.04009 0.04009 219595
1981 1 1 17 4 6 28 0.49576 0.49576 219595
1981 1 1 17 4 7 33 0.46178 0.46178 219595
1981 1 1 17 5 5 24 0.00819 0.00819 63183.2
1981 1 1 17 5 6 28 0.39872 0.39872 63183.2
1981 1 1 17 5 7 33 0.5687 0.5687 63183.2
1981 1 1 17 5 8 42 0.02439 0.02439 63183.2
1981 1 1 17 6 5 22 0.00162 0.00162 26284.6
1981 1 1 17 6 6 28 0.38562 0.38562 26284.6
1981 1 1 17 6 7 33 0.56139 0.56139 26284.6
1981 1 1 17 6 8 43 0.05137 0.05137 26284.6
1981 1 1 18 1 2 10 0.00992 0.00992 3.07226e+06
1981 1 1 18 1 3 14 0.31408 0.31408 3.07226e+06
1981 1 1 18 1 4 17 0.61068 0.61068 3.07226e+06
1981 1 1 18 1 5 21 0.06532 0.06532 3.07226e+06
1981 1 1 18 2 4 19 0.03033 0.03033 1.82143e+06
1981 1 1 18 2 5 23 0.3902 0.3902 1.82143e+06
1981 1 1 18 2 6 27 0.48414 0.48414 1.82143e+06
1981 1 1 18 2 7 32 0.09533 0.09533 1.82143e+06
1981 1 1 18 3 5 24 0.02127 0.02127 239811
1981 1 1 18 3 6 28 0.4097 0.4097 239811
1981 1 1 18 3 7 33 0.54869 0.54869 239811
1981 1 1 18 3 8 42 0.02034 0.02034 239811
1981 1 1 18 4 6 28 0.09757 0.09757 30512.9
1981 1 1 18 4 7 35 0.72222 0.72222 30512.9
1981 1 1 18 4 8 43 0.16878 0.16878 30512.9
1981 1 1 18 4 9 53 0.01143 0.01143 30512.9
1981 1 1 18 5 6 29 0.02192 0.02192 5109.57
1981 1 1 18 5 7 36 0.62167 0.62167 5109.57
1981 1 1 18 5 8 44 0.31403 0.31403 5109.57
1981 1 1 18 5 9 54 0.04238 0.04238 5109.57
1981 1 1 18 6 6 28 0.01703 0.01703 1390.39
1981 1 1 18 6 7 37 0.35681 0.35681 1390.39
1981 1 1 18 6 8 44 0.49972 0.49972 1390.39
1981 1 1 18 6 9 55 0.12644 0.12644 1390.39
1981 1 1 18 7 7 39 0.16349 0.16349 4689.8
1981 1 1 18 7 8 44 0.42994 0.42994 4689.8
1981 1 1 18 7 9 57 0.40657 0.40657 4689.8
1981 1 1 18 8 7 37 0.23186 0.23186 722.429
1981 1 1 18 8 8 44 0.35391 0.35391 722.429
1981 1 1 18 8 9 58 0.38594 0.38594 722.429
1981 1 1 18 8 10 79 0.02829 0.02829 722.429
1981 1 1 18 9 8 43 0.2512 0.2512 81.0568
1981 1 1 18 9 9 58 0.7488 0.7488 81.0568
1981 1 1 18 10 7 37 0.09713 0.09713 247.06
1981 1 1 18 10 8 46 0.2192 0.2192 247.06
1981 1 1 18 10 9 60 0.63978 0.63978 247.06
1981 1 1 18 10 10 72 0.04388 0.04388 247.06
1981 1 1 21 1 2 9 0.04597 0.04597 6.44589e+06
1981 1 1 21 1 3 13 0.60765 0.60765 6.44589e+06
1981 1 1 21 1 4 16 0.34637 0.34637 6.44589e+06
1981 1 1 21 2 3 13 0.03188 0.03188 1.3305e+06
1981 1 1 21 2 4 19 0.15161 0.15161 1.3305e+06
1981 1 1 21 2 5 22 0.79107 0.79107 1.3305e+06
1981 1 1 21 2 6 26 0.02543 0.02543 1.3305e+06
1981 1 1 21 3 4 19 0.04353 0.04353 277788
1981 1 1 21 3 5 24 0.53149 0.53149 277788
1981 1 1 21 3 6 26 0.42498 0.42498 277788
1981 1 1 21 4 4 18 0.00084 0.00084 215188
1981 1 1 21 4 5 24 0.09261 0.09261 215188
1981 1 1 21 4 6 27 0.90655 0.90655 215188
1981 1 1 21 5 5 24 0.03503 0.03503 130453
1981 1 1 21 5 6 28 0.91299 0.91299 130453
1981 1 1 21 5 7 31 0.05198 0.05198 130453
1981 1 1 21 6 5 24 0.01261 0.01261 67348.4
1981 1 1 21 6 6 28 0.86599 0.86599 67348.4
1981 1 1 21 6 7 31 0.1214 0.1214 67348.4
1981 1 1 21 7 6 29 0.63949 0.63949 53268.1
1981 1 1 21 7 7 31 0.36051 0.36051 53268.1
1981 1 1 21 8 6 29 0.29593 0.29593 31756.4
1981 1 1 21 8 7 31 0.70407 0.70407 31756.4
1981 1 1 22 1 2 9 0.33561 0.33561 5.83015e+07
1981 1 1 22 1 3 12 0.66439 0.66439 5.83015e+07
1981 1 1 22 2 2 9 0.01802 0.01802 2.22692e+07
1981 1 1 22 2 3 13 0.72119 0.72119 2.22692e+07
1981 1 1 22 2 4 16 0.26079 0.26079 2.22692e+07
1981 1 1 22 3 3 14 0.03078 0.03078 5.70929e+06
1981 1 1 22 3 4 17 0.96922 0.96922 5.70929e+06
1981 1 1 22 4 4 19 0.79077 0.79077 3.43127e+06
1981 1 1 22 4 5 21 0.20923 0.20923 3.43127e+06
1981 1 1 23 1 2 9 0.37595 0.37595 7.42011e+07
1981 1 1 23 1 3 11 0.62405 0.62405 7.42011e+07
1981 1 1 23 2 3 13 0.80031 0.80031 3.98365e+07
1981 1 1 23 2 4 16 0.19969 0.19969 3.98365e+07
1981 1 1 23 3 3 14 0.29934 0.29934 5.7883e+06
1981 1 1 23 3 4 17 0.70066 0.70066 5.7883e+06
1981 1 1 23 4 3 14 0.10245 0.10245 2.42497e+06
1981 1 1 23 4 4 18 0.85236 0.85236 2.42497e+06
1981 1 1 23 4 5 21 0.04518 0.04518 2.42497e+06
1981 1 1 24 1 2 9 0.1757 0.1757 1.82333e+07
1981 1 1 24 1 3 11 0.82202 0.82202 1.82333e+07
1981 1 1 24 1 4 16 0.00228 0.00228 1.82333e+07
1981 1 1 24 2 3 14 0.19281 0.19281 9.12343e+06
1981 1 1 24 2 4 16 0.80567 0.80567 9.12343e+06
1981 1 1 24 2 5 21 0.00152 0.00152 9.12343e+06
1981 1 1 24 3 3 14 0.02272 0.02272 307888
1981 1 1 24 3 4 18 0.91138 0.91138 307888
1981 1 1 24 3 5 21 0.06578 0.06578 307888
1981 1 1 24 3 6 28 0.00013 0.00013 307888
1981 1 1 25 1 1 6 0.42794 0.42794 4.86544e+07
1981 1 1 25 1 2 8 0.54935 0.54935 4.86544e+07
1981 1 1 25 1 3 10 0.02271 0.02271 4.86544e+07
1981 1 1 25 2 2 9 0.32473 0.32473 1.76366e+07
1981 1 1 25 2 3 11 0.67527 0.67527 1.76366e+07
1981 1 1 25 3 2 9 0.03338 0.03338 662531
1981 1 1 25 3 3 12 0.96662 0.96662 662531
1981 2 1 16 1 2 9 0.00992 0.00992 444883
1981 2 1 16 1 3 13 0.18552 0.18552 444883
1981 2 1 16 1 4 17 0.37226 0.37226 444883
1981 2 1 16 1 5 22 0.24816 0.24816 444883
1981 2 1 16 1 6 27 0.13969 0.13969 444883
1981 2 1 16 1 7 33 0.04445 0.04445 444883
1981 2 1 16 2 5 22 0.06233 0.06233 222042
1981 2 1 16 2 6 28 0.15862 0.15862 222042
1981 2 1 16 2 7 35 0.48075 0.48075 222042
1981 2 1 16 2 8 44 0.25431 0.25431 222042
1981 2 1 16 2 9 55 0.04399 0.04399 222042
1981 2 1 16 3 6 29 0.00305 0.00305 34929.3
1981 2 1 16 3 7 37 0.06203 0.06203 34929.3
1981 2 1 16 3 8 46 0.20341 0.20341 34929.3
1981 2 1 16 3 9 59 0.66426 0.66426 34929.3
1981 2 1 16 3 10 74 0.06725 0.06725 34929.3
1981 2 1 16 4 7 36 0.00371 0.00371 12609.6
1981 2 1 16 4 8 45 0.01454 0.01454 12609.6
1981 2 1 16 4 9 63 0.38133 0.38133 12609.6
1981 2 1 16 4 10 78 0.60041 0.60041 12609.6
1981 2 1 16 5 9 64 0.05336 0.05336 7428.66
1981 2 1 16 5 10 84 0.88829 0.88829 7428.66
1981 2 1 16 5 11 102 0.05835 0.05835 7428.66
1981 2 1 16 6 10 90 0.73121 0.73121 1271.18
1981 2 1 16 6 11 105 0.26879 0.26879 1271.18
1981 2 1 16 7 10 93 0.47576 0.47576 881.854
1981 2 1 16 7 11 106 0.52424 0.52424 881.854
1981 2 1 16 8 10 96 0.28259 0.28259 212.301
1981 2 1 16 8 11 109 0.71741 0.71741 212.301
1981 2 1 16 9 11 110 1 1 100.511
1981 2 1 16 10 11 113 0.88064 0.88064 90.3777
1981 2 1 16 10 12 138 0.11936 0.11936 90.3777
1981 2 1 17 1 3 14 0.16789 0.16789 2.15335e+06
1981 2 1 17 1 4 17 0.67507 0.67507 2.15335e+06
1981 2 1 17 1 5 22 0.15703 0.15703 2.15335e+06
1981 2 1 17 2 3 14 0.00084 0.00084 1.31826e+06
1981 2 1 17 2 4 18 0.06605 0.06605 1.31826e+06
1981 2 1 17 2 5 23 0.63575 0.63575 1.31826e+06
1981 2 1 17 2 6 27 0.28559 0.28559 1.31826e+06
1981 2 1 17 2 7 31 0.01176 0.01176 1.31826e+06
1981 2 1 17 3 5 24 0.17186 0.17186 576841
1981 2 1 17 3 6 27 0.67543 0.67543 576841
1981 2 1 17 3 7 32 0.15271 0.15271 576841
1981 2 1 17 4 5 24 0.04615 0.04615 163594
1981 2 1 17 4 6 28 0.58373 0.58373 163594
1981 2 1 17 4 7 33 0.37012 0.37012 163594
1981 2 1 17 5 5 24 0.0306 0.0306 46299.6
1981 2 1 17 5 6 28 0.46755 0.46755 46299.6
1981 2 1 17 5 7 33 0.47504 0.47504 46299.6
1981 2 1 17 5 8 42 0.02682 0.02682 46299.6
1981 2 1 17 6 5 24 0.04064 0.04064 20327.6
1981 2 1 17 6 6 28 0.43672 0.43672 20327.6
1981 2 1 17 6 7 33 0.4866 0.4866 20327.6
1981 2 1 17 6 8 43 0.03605 0.03605 20327.6
1981 2 1 18 1 3 14 0.08928 0.08928 1.62282e+06
1981 2 1 18 1 4 18 0.59721 0.59721 1.62282e+06
1981 2 1 18 1 5 22 0.29573 0.29573 1.62282e+06
1981 2 1 18 1 6 26 0.01778 0.01778 1.62282e+06
1981 2 1 18 2 4 19 0.02573 0.02573 1.37952e+06
1981 2 1 18 2 5 23 0.38072 0.38072 1.37952e+06
1981 2 1 18 2 6 27 0.46371 0.46371 1.37952e+06
1981 2 1 18 2 7 32 0.12983 0.12983 1.37952e+06
1981 2 1 18 3 4 19 0.00026 0.00026 179035
1981 2 1 18 3 5 24 0.02265 0.02265 179035
1981 2 1 18 3 6 28 0.36288 0.36288 179035
1981 2 1 18 3 7 33 0.59075 0.59075 179035
1981 2 1 18 3 8 42 0.02345 0.02345 179035
1981 2 1 18 4 6 29 0.09832 0.09832 23936.4
1981 2 1 18 4 7 35 0.76384 0.76384 23936.4
1981 2 1 18 4 8 43 0.12712 0.12712 23936.4
1981 2 1 18 4 9 53 0.01072 0.01072 23936.4
1981 2 1 18 5 6 26 0.02201 0.02201 4078.2
1981 2 1 18 5 7 36 0.64157 0.64157 4078.2
1981 2 1 18 5 8 43 0.28872 0.28872 4078.2
1981 2 1 18 5 9 55 0.0477 0.0477 4078.2
1981 2 1 18 6 7 37 0.42518 0.42518 1115.29
1981 2 1 18 6 8 43 0.4579 0.4579 1115.29
1981 2 1 18 6 9 57 0.11692 0.11692 1115.29
1981 2 1 18 7 7 39 0.40628 0.40628 3842.79
1981 2 1 18 7 8 44 0.39427 0.39427 3842.79
1981 2 1 18 7 9 57 0.19945 0.19945 3842.79
1981 2 1 18 8 7 38 0.35525 0.35525 595.513
1981 2 1 18 8 8 42 0.33588 0.33588 595.513
1981 2 1 18 8 9 60 0.30887 0.30887 595.513
1981 2 1 18 9 7 38 0.14103 0.14103 66.8648
1981 2 1 18 9 8 46 0.32507 0.32507 66.8648
1981 2 1 18 9 9 59 0.43813 0.43813 66.8648
1981 2 1 18 9 10 73 0.09578 0.09578 66.8648
1981 2 1 18 10 8 42 0.38893 0.38893 203.803
1981 2 1 18 10 9 62 0.61107 0.61107 203.803
1981 2 1 21 1 2 8 0.02935 0.02935 5.11062e+06
1981 2 1 21 1 3 14 0.42595 0.42595 5.11062e+06
1981 2 1 21 1 4 17 0.52361 0.52361 5.11062e+06
1981 2 1 21 1 5 21 0.02109 0.02109 5.11062e+06
1981 2 1 21 2 3 13 0.06537 0.06537 1.17585e+06
1981 2 1 21 2 4 18 0.2122 0.2122 1.17585e+06
1981 2 1 21 2 5 22 0.63422 0.63422 1.17585e+06
1981 2 1 21 2 6 26 0.08821 0.08821 1.17585e+06
1981 2 1 21 3 4 18 0.01727 0.01727 247992
1981 2 1 21 3 5 24 0.51444 0.51444 247992
1981 2 1 21 3 6 26 0.46829 0.46829 247992
1981 2 1 21 4 5 24 0.07437 0.07437 193568
1981 2 1 21 4 6 27 0.91395 0.91395 193568
1981 2 1 21 4 7 31 0.01168 0.01168 193568
1981 2 1 21 5 5 24 0.09368 0.09368 117450
1981 2 1 21 5 6 27 0.88253 0.88253 117450
1981 2 1 21 5 7 31 0.02379 0.02379 117450
1981 2 1 21 6 5 24 0.08165 0.08165 62305.5
1981 2 1 21 6 6 28 0.85362 0.85362 62305.5
1981 2 1 21 6 7 31 0.06473 0.06473 62305.5
1981 2 1 21 7 5 24 0.06835 0.06835 49279.5
1981 2 1 21 7 6 28 0.69542 0.69542 49279.5
1981 2 1 21 7 7 31 0.23622 0.23622 49279.5
1981 2 1 21 8 5 25 0.03111 0.03111 29422
1981 2 1 21 8 6 28 0.63132 0.63132 29422
1981 2 1 21 8 7 31 0.33757 0.33757 29422
1981 2 1 22 1 1 6 0.00972 0.00972 4.23781e+07
1981 2 1 22 1 2 9 0.11531 0.11531 4.23781e+07
1981 2 1 22 1 3 12 0.83248 0.83248 4.23781e+07
1981 2 1 22 1 4 16 0.04248 0.04248 4.23781e+07
1981 2 1 22 2 2 10 0.00044 0.00044 1.63035e+07
1981 2 1 22 2 3 13 0.62203 0.62203 1.63035e+07
1981 2 1 22 2 4 16 0.37753 0.37753 1.63035e+07
1981 2 1 22 3 3 14 0.36054 0.36054 4.70423e+06
1981 2 1 22 3 4 17 0.61395 0.61395 4.70423e+06
1981 2 1 22 3 5 22 0.0255 0.0255 4.70423e+06
1981 2 1 22 4 3 14 0.10516 0.10516 2.84523e+06
1981 2 1 22 4 4 17 0.79229 0.79229 2.84523e+06
1981 2 1 22 4 5 22 0.10256 0.10256 2.84523e+06
1981 2 1 23 1 1 6 0.00978 0.00978 6.27881e+07
1981 2 1 23 1 2 9 0.13658 0.13658 6.27881e+07
1981 2 1 23 1 3 12 0.82271 0.82271 6.27881e+07
1981 2 1 23 1 4 16 0.03093 0.03093 6.27881e+07
1981 2 1 23 2 2 9 0.00457 0.00457 3.37472e+07
1981 2 1 23 2 3 13 0.60992 0.60992 3.37472e+07
1981 2 1 23 2 4 16 0.38551 0.38551 3.37472e+07
1981 2 1 23 3 3 14 0.38278 0.38278 5.1855e+06
1981 2 1 23 3 4 17 0.61722 0.61722 5.1855e+06
1981 2 1 23 4 3 14 0.10352 0.10352 2.23447e+06
1981 2 1 23 4 4 18 0.86481 0.86481 2.23447e+06
1981 2 1 23 4 5 22 0.03167 0.03167 2.23447e+06
1981 2 1 24 1 2 9 0.02952 0.02952 1.00885e+07
1981 2 1 24 1 3 13 0.91421 0.91421 1.00885e+07
1981 2 1 24 1 4 16 0.05628 0.05628 1.00885e+07
1981 2 1 24 2 3 14 0.21839 0.21839 5.06593e+06
1981 2 1 24 2 4 17 0.77925 0.77925 5.06593e+06
1981 2 1 24 2 5 21 0.00237 0.00237 5.06593e+06
1981 2 1 24 3 3 14 0.05488 0.05488 156694
1981 2 1 24 3 4 18 0.87536 0.87536 156694
1981 2 1 24 3 5 21 0.06975 0.06975 156694
1981 2 1 25 1 1 6 0.15716 0.15716 3.35554e+07
1981 2 1 25 1 2 9 0.68894 0.68894 3.35554e+07
1981 2 1 25 1 3 11 0.1539 0.1539 3.35554e+07
1981 2 1 25 2 2 9 0.17822 0.17822 1.01982e+07
1981 2 1 25 2 3 12 0.82178 0.82178 1.01982e+07
1981 2 1 25 3 2 9 0.03281 0.03281 396478
1981 2 1 25 3 3 12 0.95309 0.95309 396478
1981 2 1 25 3 4 15 0.0141 0.0141 396478
1981 3 1 16 0 1 6 0.18948 0.18948 1.22779e+07
1981 3 1 16 0 2 8 0.51893 0.51893 1.22779e+07
1981 3 1 16 0 3 12 0.29159 0.29159 1.22779e+07
1981 3 1 16 1 3 14 0.01997 0.01997 290735
1981 3 1 16 1 4 18 0.17175 0.17175 290735
1981 3 1 16 1 5 23 0.28932 0.28932 290735
1981 3 1 16 1 6 27 0.29438 0.29438 290735
1981 3 1 16 1 7 33 0.20362 0.20362 290735
1981 3 1 16 1 8 43 0.02096 0.02096 290735
1981 3 1 16 2 6 28 0.03486 0.03486 146408
1981 3 1 16 2 7 36 0.40302 0.40302 146408
1981 3 1 16 2 8 44 0.39033 0.39033 146408
1981 3 1 16 2 9 56 0.17179 0.17179 146408
1981 3 1 16 3 6 28 0.00453 0.00453 25796
1981 3 1 16 3 7 36 0.03206 0.03206 25796
1981 3 1 16 3 8 46 0.1429 0.1429 25796
1981 3 1 16 3 9 60 0.64867 0.64867 25796
1981 3 1 16 3 10 74 0.17184 0.17184 25796
1981 3 1 16 4 7 40 0.00722 0.00722 9791.16
1981 3 1 16 4 8 46 0.01254 0.01254 9791.16
1981 3 1 16 4 9 64 0.15394 0.15394 9791.16
1981 3 1 16 4 10 81 0.82631 0.82631 9791.16
1981 3 1 16 5 9 65 0.01595 0.01595 5890.55
1981 3 1 16 5 10 87 0.93475 0.93475 5890.55
1981 3 1 16 5 11 103 0.04931 0.04931 5890.55
1981 3 1 16 6 10 93 0.70993 0.70993 1007.95
1981 3 1 16 6 11 103 0.29007 0.29007 1007.95
1981 3 1 16 7 10 89 0.53025 0.53025 689.785
1981 3 1 16 7 11 107 0.46975 0.46975 689.785
1981 3 1 16 8 10 97 0.38952 0.38952 168.012
1981 3 1 16 8 11 104 0.61048 0.61048 168.012
1981 3 1 16 9 11 110 1 1 77.8934
1981 3 1 16 10 11 108 0.65599 0.65599 70.0403
1981 3 1 16 10 12 125 0.34401 0.34401 70.0403
1981 3 1 17 0 1 6 0.10107 0.10107 1.96128e+07
1981 3 1 17 0 2 9 0.52625 0.52625 1.96128e+07
1981 3 1 17 0 3 12 0.32074 0.32074 1.96128e+07
1981 3 1 17 0 4 16 0.05194 0.05194 1.96128e+07
1981 3 1 17 1 3 13 0.02934 0.02934 1.28287e+06
1981 3 1 17 1 4 18 0.28622 0.28622 1.28287e+06
1981 3 1 17 1 5 22 0.59438 0.59438 1.28287e+06
1981 3 1 17 1 6 26 0.09007 0.09007 1.28287e+06
1981 3 1 17 2 3 14 9e-05 9e-05 939132
1981 3 1 17 2 4 19 0.00697 0.00697 939132
1981 3 1 17 2 5 24 0.31759 0.31759 939132
1981 3 1 17 2 6 27 0.59722 0.59722 939132
1981 3 1 17 2 7 32 0.07814 0.07814 939132
1981 3 1 17 3 4 19 0.00219 0.00219 420172
1981 3 1 17 3 5 24 0.07824 0.07824 420172
1981 3 1 17 3 6 28 0.60849 0.60849 420172
1981 3 1 17 3 7 32 0.31108 0.31108 420172
1981 3 1 17 4 5 24 0.02209 0.02209 119227
1981 3 1 17 4 6 28 0.38671 0.38671 119227
1981 3 1 17 4 7 33 0.57254 0.57254 119227
1981 3 1 17 4 8 42 0.01865 0.01865 119227
1981 3 1 17 5 5 24 0.00573 0.00573 33400.8
1981 3 1 17 5 6 28 0.31983 0.31983 33400.8
1981 3 1 17 5 7 33 0.63025 0.63025 33400.8
1981 3 1 17 5 8 43 0.04419 0.04419 33400.8
1981 3 1 17 6 6 28 0.34335 0.34335 15650.4
1981 3 1 17 6 7 34 0.60563 0.60563 15650.4
1981 3 1 17 6 8 43 0.05102 0.05102 15650.4
1981 3 1 18 0 1 6 0.13527 0.13527 1.93976e+07
1981 3 1 18 0 2 9 0.31436 0.31436 1.93976e+07
1981 3 1 18 0 3 12 0.51588 0.51588 1.93976e+07
1981 3 1 18 0 4 16 0.03448 0.03448 1.93976e+07
1981 3 1 18 1 3 13 0.02946 0.02946 715761
1981 3 1 18 1 4 19 0.12971 0.12971 715761
1981 3 1 18 1 5 23 0.60856 0.60856 715761
1981 3 1 18 1 6 27 0.23226 0.23226 715761
1981 3 1 18 2 4 19 0.00026 0.00026 959607
1981 3 1 18 2 5 24 0.06231 0.06231 959607
1981 3 1 18 2 6 28 0.51535 0.51535 959607
1981 3 1 18 2 7 33 0.42209 0.42209 959607
1981 3 1 18 3 5 24 0.01174 0.01174 131856
1981 3 1 18 3 6 29 0.14041 0.14041 131856
1981 3 1 18 3 7 34 0.79974 0.79974 131856
1981 3 1 18 3 8 42 0.04811 0.04811 131856
1981 3 1 18 4 6 29 0.01316 0.01316 18815.4
1981 3 1 18 4 7 36 0.76757 0.76757 18815.4
1981 3 1 18 4 8 43 0.2014 0.2014 18815.4
1981 3 1 18 4 9 54 0.01787 0.01787 18815.4
1981 3 1 18 5 6 29 0.02459 0.02459 3257.93
1981 3 1 18 5 7 36 0.59723 0.59723 3257.93
1981 3 1 18 5 8 43 0.32166 0.32166 3257.93
1981 3 1 18 5 9 55 0.05652 0.05652 3257.93
1981 3 1 18 6 7 36 0.42095 0.42095 895.425
1981 3 1 18 6 8 44 0.4271 0.4271 895.425
1981 3 1 18 6 9 55 0.15195 0.15195 895.425
1981 3 1 18 7 7 39 0.30676 0.30676 3151.57
1981 3 1 18 7 8 45 0.4091 0.4091 3151.57
1981 3 1 18 7 9 58 0.28414 0.28414 3151.57
1981 3 1 18 8 7 37 0.23708 0.23708 491.003
1981 3 1 18 8 8 42 0.18449 0.18449 491.003
1981 3 1 18 8 9 61 0.5488 0.5488 491.003
1981 3 1 18 8 10 72 0.02963 0.02963 491.003
1981 3 1 18 9 7 37 0.30682 0.30682 55.1646
1981 3 1 18 9 8 42 0.14009 0.14009 55.1646
1981 3 1 18 9 9 60 0.55309 0.55309 55.1646
1981 3 1 18 10 9 60 0.76624 0.76624 168.141
1981 3 1 18 10 10 70 0.23376 0.23376 168.141
1981 3 1 21 0 2 9 0.10963 0.10963 2.12606e+07
1981 3 1 21 0 3 12 0.87211 0.87211 2.12606e+07
1981 3 1 21 0 4 16 0.01826 0.01826 2.12606e+07
1981 3 1 21 1 3 13 0.05239 0.05239 3.96308e+06
1981 3 1 21 1 4 18 0.67734 0.67734 3.96308e+06
1981 3 1 21 1 5 22 0.27027 0.27027 3.96308e+06
1981 3 1 21 2 4 18 0.02668 0.02668 1.0072e+06
1981 3 1 21 2 5 23 0.53904 0.53904 1.0072e+06
1981 3 1 21 2 6 26 0.43428 0.43428 1.0072e+06
1981 3 1 21 3 5 24 0.13598 0.13598 213125
1981 3 1 21 3 6 27 0.8217 0.8217 213125
1981 3 1 21 3 7 31 0.04232 0.04232 213125
1981 3 1 21 4 5 24 0.07615 0.07615 166894
1981 3 1 21 4 6 28 0.77104 0.77104 166894
1981 3 1 21 4 7 31 0.15282 0.15282 166894
1981 3 1 21 5 5 24 0.04173 0.04173 102487
1981 3 1 21 5 6 28 0.60678 0.60678 102487
1981 3 1 21 5 7 31 0.35149 0.35149 102487
1981 3 1 21 6 5 24 0.00323 0.00323 56616.6
1981 3 1 21 6 6 28 0.56113 0.56113 56616.6
1981 3 1 21 6 7 31 0.43563 0.43563 56616.6
1981 3 1 21 7 5 23 0.00132 0.00132 44780
1981 3 1 21 7 6 27 0.50331 0.50331 44780
1981 3 1 21 7 7 31 0.49537 0.49537 44780
1981 3 1 21 8 5 22 0.01005 0.01005 26735.6
1981 3 1 21 8 6 28 0.13497 0.13497 26735.6
1981 3 1 21 8 7 32 0.85498 0.85498 26735.6
1981 3 1 22 0 1 6 0.12316 0.12316 2.24837e+08
1981 3 1 22 0 2 8 0.47697 0.47697 2.24837e+08
1981 3 1 22 0 3 11 0.39987 0.39987 2.24837e+08
1981 3 1 22 1 3 13 0.78333 0.78333 1.98091e+07
1981 3 1 22 1 4 16 0.21667 0.21667 1.98091e+07
1981 3 1 22 2 3 13 0.24921 0.24921 8.67107e+06
1981 3 1 22 2 4 17 0.73093 0.73093 8.67107e+06
1981 3 1 22 2 5 21 0.01986 0.01986 8.67107e+06
1981 3 1 22 3 3 14 0.02988 0.02988 2.99378e+06
1981 3 1 22 3 4 17 0.94087 0.94087 2.99378e+06
1981 3 1 22 3 5 21 0.02925 0.02925 2.99378e+06
1981 3 1 22 4 4 19 0.79077 0.79077 1.83375e+06
1981 3 1 22 4 5 21 0.20923 0.20923 1.83375e+06
1981 3 1 23 0 1 6 0.23482 0.23482 3.65215e+08
1981 3 1 23 0 2 8 0.53238 0.53238 3.65215e+08
